"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.534867700E-1	1.807622313E0	9.097966552E-1	9.385569572E0	9.601257448E0
2.554977700E-1	1.841141105E0	8.762778044E-1	9.206005096E0	9.429114126E0
2.574857700E-1	1.877054095E0	8.499416113E-1	9.074323654E0	9.305325497E0
2.594732700E-1	1.915361404E0	8.331822157E-1	8.992920876E0	9.232303493E0
2.614692700E-1	1.953668594E0	8.212111592E-1	8.949825287E0	9.197313815E0
2.634662700E-1	1.984793186E0	8.140285611E-1	8.940248489E0	9.194024665E0
2.654638700E-1	2.001552582E0	8.116343617E-1	8.952219009E0	9.209081836E0
2.674618700E-1	2.008735180E0	8.140285611E-1	8.968978882E0	9.227146997E0
2.694601550E-1	2.008735180E0	8.188169599E-1	8.997709274E0	9.255498389E0
2.714587800E-1	1.991975784E0	8.212111592E-1	9.026439667E0	9.280030622E0
2.734575570E-1	1.958456993E0	8.164227605E-1	9.062353134E0	9.307434891E0
2.754564570E-1	1.908178806E0	7.972691655E-1	9.100660324E0	9.332673937E0
2.774554570E-1	1.857900500E0	7.781155705E-1	9.134179115E0	9.353634920E0
2.794545400E-1	1.805228114E0	7.613561153E-1	9.160514832E0	9.367686142E0
2.814536930E-1	1.759738207E0	7.469909191E-1	9.174880028E0	9.371931365E0
2.834529070E-1	1.723825216E0	7.350199223E-1	9.184456825E0	9.373690567E0
2.854521730E-1	1.697489023E0	7.302315235E-1	9.182063103E0	9.366161961E0
2.874497980E-1	1.675941229E0	7.302315235E-1	9.174880028E0	9.355235999E0
2.894475620E-1	1.661576033E0	7.302315235E-1	9.153332710E0	9.331536460E0
2.914454500E-1	1.649604917E0	7.326257229E-1	9.119813919E0	9.296716773E0
2.934448180E-1	1.640028119E0	7.398083210E-1	9.071929932E0	9.248617262E0
2.954442180E-1	1.630451322E0	7.541735172E-1	9.026439667E0	9.203464688E0
2.974436460E-1	1.620874524E0	7.852981687E-1	8.983344078E0	9.162117564E0
2.994431000E-1	1.611297727E0	8.283938169E-1	8.947430611E0	9.129021372E0
3.014425780E-1	1.606509328E0	8.714894056E-1	8.918700218E0	9.104041937E0
3.034420780E-1	1.608903527E0	9.121908545E-1	8.897152901E0	9.087353435E0
3.054415980E-1	1.620874524E0	9.504981041E-1	8.875604630E0	9.072322658E0
3.074411360E-1	1.637633920E0	9.840168953E-1	8.854057312E0	9.057839974E0
3.094406910E-1	1.666364431E0	1.017535686E0	8.837297440E0	9.050412992E0
3.114402620E-1	1.699883223E0	1.041477680E0	8.822932243E0	9.045353067E0
3.134398480E-1	1.731007814E0	1.063025594E0	8.810961723E0	9.042093671E0
3.154394480E-1	1.762132406E0	1.072602391E0	8.794201851E0	9.032916069E0
3.174394810E-1	1.788468719E0	1.077390790E0	8.770259857E0	9.015367393E0
3.194399470E-1	1.810016513E0	1.077390790E0	8.746317863E0	8.996388545E0
3.214399800E-1	1.829170108E0	1.067813993E0	8.724770546E0	8.978179720E0
3.234400130E-1	1.850717902E0	1.051054597E0	8.710405350E0	8.966662360E0
3.254400460E-1	1.867477298E0	1.022324085E0	8.708010674E0	8.964489271E0
